number,value,params,datetime_start,datetime_complete
0,0.0003233482260150073,"{'batch_size': 32, 'd_model': 64, 'nhead': 16, 'num_encoder_layers': 4, 'dim_feedforward': 4096, 'dropout': 0.01}",2023-12-17 10:40:08.686460,2023-12-17 11:18:37.518309
1,1.9935315420714394e-05,"{'batch_size': 256, 'd_model': 32, 'nhead': 32, 'num_encoder_layers': 6, 'dim_feedforward': 1024, 'dropout': 0.01}",2023-12-17 11:18:37.519370,2023-12-17 11:30:28.938286
2,0.00027002419414705835,"{'batch_size': 128, 'd_model': 256, 'nhead': 16, 'num_encoder_layers': 5, 'dim_feedforward': 512, 'dropout': 0.05}",2023-12-17 11:30:28.939247,2023-12-17 11:35:00.809811
3,2.652167191671038e-05,"{'batch_size': 256, 'd_model': 256, 'nhead': 8, 'num_encoder_layers': 3, 'dim_feedforward': 512, 'dropout': 0.01}",2023-12-17 11:35:00.810772,2023-12-17 11:39:40.840370
4,0.000354322359839465,"{'batch_size': 32, 'd_model': 32, 'nhead': 8, 'num_encoder_layers': 6, 'dim_feedforward': 512, 'dropout': 0.05}",2023-12-17 11:39:40.841373,2023-12-17 12:11:55.918468
5,2.7087842717486973e-05,"{'batch_size': 256, 'd_model': 32, 'nhead': 4, 'num_encoder_layers': 2, 'dim_feedforward': 2048, 'dropout': 0.01}",2023-12-17 12:11:55.919433,2023-12-17 12:16:28.026577
6,0.0032191089150187414,"{'batch_size': 32, 'd_model': 256, 'nhead': 32, 'num_encoder_layers': 4, 'dim_feedforward': 4096, 'dropout': 0.01}",2023-12-17 12:16:28.027498,2023-12-17 12:34:01.240778
7,0.001978196391927279,"{'batch_size': 32, 'd_model': 64, 'nhead': 16, 'num_encoder_layers': 6, 'dim_feedforward': 2048, 'dropout': 0.05}",2023-12-17 12:34:01.243054,2023-12-17 12:52:16.693755
8,0.00014568211169566103,"{'batch_size': 64, 'd_model': 64, 'nhead': 4, 'num_encoder_layers': 4, 'dim_feedforward': 4096, 'dropout': 0.05}",2023-12-17 12:52:16.694736,2023-12-17 13:11:33.030508
9,0.00018846582652848803,"{'batch_size': 32, 'd_model': 32, 'nhead': 16, 'num_encoder_layers': 4, 'dim_feedforward': 4096, 'dropout': 0.03}",2023-12-17 13:11:33.031486,2023-12-17 14:15:10.111936
10,5.214386682657195e-05,"{'batch_size': 128, 'd_model': 128, 'nhead': 4, 'num_encoder_layers': 4, 'dim_feedforward': 4096, 'dropout': 0.03}",2023-12-17 14:15:10.112877,2023-12-17 14:26:07.763617
11,0.000535150643173016,"{'batch_size': 64, 'd_model': 64, 'nhead': 16, 'num_encoder_layers': 4, 'dim_feedforward': 512, 'dropout': 0.05}",2023-12-17 14:26:07.765198,2023-12-17 14:33:34.457395
12,0.0038644126622460542,"{'batch_size': 32, 'd_model': 256, 'nhead': 32, 'num_encoder_layers': 4, 'dim_feedforward': 4096, 'dropout': 0.03}",2023-12-17 14:33:34.458310,2023-12-17 14:50:01.972729
13,0.0003358622088596127,"{'batch_size': 32, 'd_model': 64, 'nhead': 8, 'num_encoder_layers': 5, 'dim_feedforward': 1024, 'dropout': 0.05}",2023-12-17 14:50:01.973696,2023-12-17 15:20:04.789987
14,7.600537148757207e-05,"{'batch_size': 64, 'd_model': 32, 'nhead': 16, 'num_encoder_layers': 4, 'dim_feedforward': 2048, 'dropout': 0.01}",2023-12-17 15:20:04.790977,2023-12-17 15:53:39.300774
15,0.000612708588706759,"{'batch_size': 64, 'd_model': 128, 'nhead': 32, 'num_encoder_layers': 6, 'dim_feedforward': 512, 'dropout': 0.01}",2023-12-17 15:53:39.301676,2023-12-17 16:03:20.328556
16,0.00016307780941662164,"{'batch_size': 32, 'd_model': 32, 'nhead': 32, 'num_encoder_layers': 3, 'dim_feedforward': 512, 'dropout': 0.05}",2023-12-17 16:03:20.329499,2023-12-17 17:00:02.711156
17,0.00011492082810276249,"{'batch_size': 256, 'd_model': 256, 'nhead': 32, 'num_encoder_layers': 4, 'dim_feedforward': 1024, 'dropout': 0.01}",2023-12-17 17:00:02.712157,2023-12-17 17:02:11.789672
18,0.00012007112556741863,"{'batch_size': 64, 'd_model': 256, 'nhead': 2, 'num_encoder_layers': 4, 'dim_feedforward': 1024, 'dropout': 0.03}",2023-12-17 17:02:11.790650,2023-12-17 17:21:23.683641
19,9.040746302619088e-05,"{'batch_size': 64, 'd_model': 32, 'nhead': 32, 'num_encoder_layers': 4, 'dim_feedforward': 2048, 'dropout': 0.05}",2023-12-17 17:21:23.684543,2023-12-17 17:53:41.080983
20,0.00010131501969400922,"{'batch_size': 256, 'd_model': 128, 'nhead': 32, 'num_encoder_layers': 6, 'dim_feedforward': 4096, 'dropout': 0.05}",2023-12-17 17:53:41.081904,2023-12-17 17:56:28.954055
21,7.073008913771785e-05,"{'batch_size': 64, 'd_model': 64, 'nhead': 32, 'num_encoder_layers': 6, 'dim_feedforward': 4096, 'dropout': 0.05}",2023-12-17 17:56:28.955015,2023-12-17 18:38:05.440036
22,0.00013203050467717626,"{'batch_size': 64, 'd_model': 64, 'nhead': 2, 'num_encoder_layers': 5, 'dim_feedforward': 512, 'dropout': 0.05}",2023-12-17 18:38:05.440987,2023-12-17 19:01:03.309707
23,1.9589668260195693e-05,"{'batch_size': 256, 'd_model': 64, 'nhead': 2, 'num_encoder_layers': 2, 'dim_feedforward': 512, 'dropout': 0.03}",2023-12-17 19:01:03.310653,2023-12-17 19:07:42.474681
24,4.84844085817711e-05,"{'batch_size': 128, 'd_model': 128, 'nhead': 8, 'num_encoder_layers': 5, 'dim_feedforward': 1024, 'dropout': 0.01}",2023-12-17 19:07:42.475597,2023-12-17 19:15:00.186034
25,0.00015683976690211276,"{'batch_size': 32, 'd_model': 64, 'nhead': 32, 'num_encoder_layers': 2, 'dim_feedforward': 1024, 'dropout': 0.01}",2023-12-17 19:15:00.186963,2023-12-17 19:59:43.776690
26,0.00010652362822134873,"{'batch_size': 64, 'd_model': 128, 'nhead': 4, 'num_encoder_layers': 2, 'dim_feedforward': 2048, 'dropout': 0.01}",2023-12-17 19:59:43.778151,2023-12-17 20:16:18.135001
27,9.32459386275555e-05,"{'batch_size': 256, 'd_model': 128, 'nhead': 32, 'num_encoder_layers': 3, 'dim_feedforward': 512, 'dropout': 0.05}",2023-12-17 20:16:18.135967,2023-12-17 20:18:21.572031
28,0.00023168739686911223,"{'batch_size': 128, 'd_model': 128, 'nhead': 16, 'num_encoder_layers': 5, 'dim_feedforward': 1024, 'dropout': 0.03}",2023-12-17 20:18:21.573051,2023-12-17 20:23:01.731554
29,0.00011249310811107186,"{'batch_size': 64, 'd_model': 64, 'nhead': 2, 'num_encoder_layers': 4, 'dim_feedforward': 4096, 'dropout': 0.01}",2023-12-17 20:23:01.732473,2023-12-17 20:41:25.119784
30,2.0788199507958776e-05,"{'batch_size': 256, 'd_model': 256, 'nhead': 8, 'num_encoder_layers': 3, 'dim_feedforward': 1024, 'dropout': 0.01}",2023-12-17 20:41:25.120768,2023-12-17 20:48:38.907660
31,4.452359530894318e-05,"{'batch_size': 128, 'd_model': 64, 'nhead': 8, 'num_encoder_layers': 5, 'dim_feedforward': 1024, 'dropout': 0.01}",2023-12-17 20:48:38.908600,2023-12-17 21:01:53.113411
32,0.0003423253857159437,"{'batch_size': 32, 'd_model': 128, 'nhead': 4, 'num_encoder_layers': 5, 'dim_feedforward': 1024, 'dropout': 0.05}",2023-12-17 21:01:53.114365,2023-12-17 21:41:54.818529
33,5.5857773206818414e-05,"{'batch_size': 128, 'd_model': 128, 'nhead': 2, 'num_encoder_layers': 2, 'dim_feedforward': 4096, 'dropout': 0.03}",2023-12-17 21:41:54.819515,2023-12-17 21:47:38.203797
34,5.5854313200365014e-05,"{'batch_size': 128, 'd_model': 128, 'nhead': 4, 'num_encoder_layers': 3, 'dim_feedforward': 4096, 'dropout': 0.05}",2023-12-17 21:47:38.204724,2023-12-17 22:00:20.296205
35,0.00023271385428131198,"{'batch_size': 128, 'd_model': 64, 'nhead': 16, 'num_encoder_layers': 4, 'dim_feedforward': 2048, 'dropout': 0.05}",2023-12-17 22:00:20.297135,2023-12-17 22:04:18.821594
36,0.0005438515855652256,"{'batch_size': 64, 'd_model': 64, 'nhead': 16, 'num_encoder_layers': 5, 'dim_feedforward': 1024, 'dropout': 0.01}",2023-12-17 22:04:18.822569,2023-12-17 22:12:41.165574
37,6.530004950839444e-05,"{'batch_size': 128, 'd_model': 32, 'nhead': 4, 'num_encoder_layers': 5, 'dim_feedforward': 1024, 'dropout': 0.05}",2023-12-17 22:12:41.166501,2023-12-17 22:22:25.257897
38,0.0007380119853809786,"{'batch_size': 64, 'd_model': 256, 'nhead': 4, 'num_encoder_layers': 6, 'dim_feedforward': 4096, 'dropout': 0.01}",2023-12-17 22:22:25.258890,2023-12-17 22:35:44.625690
39,0.0004315072562268848,"{'batch_size': 64, 'd_model': 64, 'nhead': 16, 'num_encoder_layers': 3, 'dim_feedforward': 2048, 'dropout': 0.05}",2023-12-17 22:35:44.626669,2023-12-17 22:43:00.139321
40,2.7938048672598317e-05,"{'batch_size': 256, 'd_model': 64, 'nhead': 2, 'num_encoder_layers': 3, 'dim_feedforward': 1024, 'dropout': 0.05}",2023-12-17 22:43:00.140243,2023-12-17 22:47:18.295528
