number,value,params,datetime_start,datetime_complete
0,0.0001384300056676542,"{'batch_size': 64, 'd_model': 32, 'nhead': 2, 'num_encoder_layers': 2, 'dim_feedforward': 4096, 'dropout': 0.03}",2023-12-19 21:55:25.295018,2023-12-19 22:35:05.360826
1,5.905655160349012e-05,"{'batch_size': 128, 'd_model': 64, 'nhead': 4, 'num_encoder_layers': 4, 'dim_feedforward': 1024, 'dropout': 0.03}",2023-12-19 22:35:05.361849,2023-12-19 22:48:21.215048
2,1.3824241274686304e-05,"{'batch_size': 256, 'd_model': 64, 'nhead': 32, 'num_encoder_layers': 3, 'dim_feedforward': 4096, 'dropout': 0.05}",2023-12-19 22:48:21.215981,2023-12-19 23:04:35.137620
3,2.5639985854310103e-05,"{'batch_size': 256, 'd_model': 32, 'nhead': 4, 'num_encoder_layers': 4, 'dim_feedforward': 2048, 'dropout': 0.05}",2023-12-19 23:04:35.138575,2023-12-19 23:17:07.621297
4,2.352757217572986e-05,"{'batch_size': 256, 'd_model': 64, 'nhead': 4, 'num_encoder_layers': 2, 'dim_feedforward': 2048, 'dropout': 0.03}",2023-12-19 23:17:07.622267,2023-12-19 23:26:03.445022
5,0.0007286465865425291,"{'batch_size': 64, 'd_model': 128, 'nhead': 32, 'num_encoder_layers': 4, 'dim_feedforward': 512, 'dropout': 0.05}",2023-12-19 23:26:03.445975,2023-12-19 23:43:43.505414
6,0.00011652905889595147,"{'batch_size': 64, 'd_model': 256, 'nhead': 2, 'num_encoder_layers': 2, 'dim_feedforward': 2048, 'dropout': 0.03}",2023-12-19 23:43:43.506365,2023-12-20 00:35:02.289498
7,0.00011758088200625893,"{'batch_size': 256, 'd_model': 256, 'nhead': 32, 'num_encoder_layers': 3, 'dim_feedforward': 4096, 'dropout': 0.05}",2023-12-20 00:35:02.290673,2023-12-20 00:39:58.951241
8,1.2208795469998442e-05,"{'batch_size': 256, 'd_model': 32, 'nhead': 32, 'num_encoder_layers': 3, 'dim_feedforward': 4096, 'dropout': 0.01}",2023-12-20 00:39:58.952226,2023-12-20 00:59:12.737901
9,2.697402586301946e-05,"{'batch_size': 256, 'd_model': 64, 'nhead': 8, 'num_encoder_layers': 2, 'dim_feedforward': 512, 'dropout': 0.05}",2023-12-20 00:59:12.738884,2023-12-20 01:09:22.206270
10,0.00012521579355921077,"{'batch_size': 64, 'd_model': 256, 'nhead': 2, 'num_encoder_layers': 5, 'dim_feedforward': 4096, 'dropout': 0.01}",2023-12-20 01:09:22.207242,2023-12-20 01:48:19.195053
11,0.00010044562254644539,"{'batch_size': 256, 'd_model': 256, 'nhead': 32, 'num_encoder_layers': 3, 'dim_feedforward': 2048, 'dropout': 0.01}",2023-12-20 01:48:19.196237,2023-12-20 01:52:40.708405
12,1.98634856958222e-05,"{'batch_size': 256, 'd_model': 256, 'nhead': 4, 'num_encoder_layers': 2, 'dim_feedforward': 4096, 'dropout': 0.01}",2023-12-20 01:52:40.709378,2023-12-20 02:01:25.253510
13,5.664636890832813e-05,"{'batch_size': 128, 'd_model': 128, 'nhead': 2, 'num_encoder_layers': 4, 'dim_feedforward': 4096, 'dropout': 0.03}",2023-12-20 02:01:25.254702,2023-12-20 02:16:46.395761
14,0.0003625997347721107,"{'batch_size': 32, 'd_model': 256, 'nhead': 16, 'num_encoder_layers': 2, 'dim_feedforward': 2048, 'dropout': 0.03}",2023-12-20 02:16:46.396739,2023-12-20 03:35:12.254897
15,7.144874399073146e-05,"{'batch_size': 128, 'd_model': 32, 'nhead': 8, 'num_encoder_layers': 5, 'dim_feedforward': 4096, 'dropout': 0.05}",2023-12-20 03:35:12.255915,2023-12-20 03:56:26.082685
16,0.0005288487922231545,"{'batch_size': 64, 'd_model': 64, 'nhead': 8, 'num_encoder_layers': 3, 'dim_feedforward': 4096, 'dropout': 0.03}",2023-12-20 03:56:26.083645,2023-12-20 04:14:52.728533
17,5.087344914566177e-05,"{'batch_size': 128, 'd_model': 128, 'nhead': 4, 'num_encoder_layers': 4, 'dim_feedforward': 512, 'dropout': 0.03}",2023-12-20 04:14:52.729502,2023-12-20 04:44:02.864947
18,0.00029043937286719093,"{'batch_size': 128, 'd_model': 256, 'nhead': 16, 'num_encoder_layers': 4, 'dim_feedforward': 2048, 'dropout': 0.05}",2023-12-20 04:44:02.865910,2023-12-20 04:53:27.820890
19,0.0010038210321388643,"{'batch_size': 64, 'd_model': 256, 'nhead': 16, 'num_encoder_layers': 6, 'dim_feedforward': 512, 'dropout': 0.01}",2023-12-20 04:53:27.821862,2023-12-20 05:14:54.507484
20,0.00033722961658308773,"{'batch_size': 32, 'd_model': 64, 'nhead': 2, 'num_encoder_layers': 4, 'dim_feedforward': 1024, 'dropout': 0.03}",2023-12-20 05:14:54.508480,2023-12-20 06:42:48.219041
