number,value,params,datetime_start,datetime_complete
0,0.0360179099507974,"{'batch_size': 64, 'n_layers': 5, 'n_units_l0': 30, 'n_units_l1': 50, 'n_units_l2': 60, 'n_units_l3': 60, 'n_units_l4': 100, 'dropout': 0.05, 'activation': 'softsign'}",2024-03-19 15:54:16.099337,2024-03-19 16:16:03.764962
1,0.024462372622142226,"{'batch_size': 128, 'n_layers': 6, 'n_units_l0': 40, 'n_units_l1': 60, 'n_units_l2': 80, 'n_units_l3': 30, 'n_units_l4': 100, 'n_units_l5': 80, 'dropout': 0.05, 'activation': 'relu'}",2024-03-19 16:16:03.766053,2024-03-19 16:29:19.255058
2,0.03547022012061074,"{'batch_size': 16, 'n_layers': 5, 'n_units_l0': 30, 'n_units_l1': 50, 'n_units_l2': 40, 'n_units_l3': 90, 'n_units_l4': 100, 'dropout': 0.01, 'activation': 'softsign'}",2024-03-19 16:29:19.256001,2024-03-19 18:35:27.927831
3,0.030129823454915945,"{'batch_size': 128, 'n_layers': 6, 'n_units_l0': 90, 'n_units_l1': 80, 'n_units_l2': 60, 'n_units_l3': 80, 'n_units_l4': 100, 'n_units_l5': 90, 'dropout': 0.01, 'activation': 'softsign'}",2024-03-19 18:35:27.928790,2024-03-19 18:53:04.122618
4,0.023926264561602146,"{'batch_size': 64, 'n_layers': 5, 'n_units_l0': 30, 'n_units_l1': 90, 'n_units_l2': 40, 'n_units_l3': 50, 'n_units_l4': 40, 'dropout': 0.03, 'activation': 'relu'}",2024-03-19 18:53:04.123611,2024-03-19 19:24:51.092607
5,0.03946098645360849,"{'batch_size': 32, 'n_layers': 4, 'n_units_l0': 60, 'n_units_l1': 70, 'n_units_l2': 100, 'n_units_l3': 60, 'dropout': 0.05, 'activation': 'tanh'}",2024-03-19 19:24:51.093562,2024-03-19 20:16:59.167912
6,0.03651441886369819,"{'batch_size': 32, 'n_layers': 8, 'n_units_l0': 40, 'n_units_l1': 100, 'n_units_l2': 70, 'n_units_l3': 100, 'n_units_l4': 100, 'n_units_l5': 40, 'n_units_l6': 50, 'n_units_l7': 50, 'dropout': 0.01, 'activation': 'tanh'}",2024-03-19 20:16:59.168866,2024-03-19 21:17:40.508477
7,0.039628925342248086,"{'batch_size': 32, 'n_layers': 9, 'n_units_l0': 70, 'n_units_l1': 60, 'n_units_l2': 60, 'n_units_l3': 70, 'n_units_l4': 60, 'n_units_l5': 90, 'n_units_l6': 60, 'n_units_l7': 100, 'n_units_l8': 70, 'dropout': 0.03, 'activation': 'tanh'}",2024-03-19 21:17:40.509455,2024-03-19 22:22:09.207344
8,0.03935388077546283,"{'batch_size': 256, 'n_layers': 5, 'n_units_l0': 90, 'n_units_l1': 70, 'n_units_l2': 70, 'n_units_l3': 90, 'n_units_l4': 70, 'dropout': 0.05, 'activation': 'tanh'}",2024-03-19 22:22:09.209300,2024-03-19 22:31:21.739410
9,0.03713773463418942,"{'batch_size': 128, 'n_layers': 5, 'n_units_l0': 70, 'n_units_l1': 90, 'n_units_l2': 50, 'n_units_l3': 50, 'n_units_l4': 100, 'dropout': 0.01, 'activation': 'tanh'}",2024-03-19 22:31:21.740413,2024-03-19 22:44:48.688233
10,0.6461215974944428,"{'batch_size': 128, 'n_layers': 12, 'n_units_l0': 70, 'n_units_l1': 30, 'n_units_l2': 70, 'n_units_l3': 90, 'n_units_l4': 70, 'n_units_l5': 70, 'n_units_l6': 60, 'n_units_l7': 100, 'n_units_l8': 80, 'n_units_l9': 80, 'n_units_l10': 80, 'n_units_l11': 30, 'dropout': 0.05, 'activation': 'softsign'}",2024-03-19 22:44:48.689183,2024-03-19 22:49:36.005211
11,0.03615044080792119,"{'batch_size': 32, 'n_layers': 5, 'n_units_l0': 80, 'n_units_l1': 50, 'n_units_l2': 30, 'n_units_l3': 80, 'n_units_l4': 60, 'dropout': 0.03, 'activation': 'softsign'}",2024-03-19 22:49:36.006195,2024-03-19 23:50:52.313685
12,0.6461241759631375,"{'batch_size': 64, 'n_layers': 13, 'n_units_l0': 90, 'n_units_l1': 50, 'n_units_l2': 80, 'n_units_l3': 30, 'n_units_l4': 100, 'n_units_l5': 70, 'n_units_l6': 80, 'n_units_l7': 30, 'n_units_l8': 90, 'n_units_l9': 80, 'n_units_l10': 90, 'n_units_l11': 60, 'n_units_l12': 90, 'dropout': 0.03, 'activation': 'relu'}",2024-03-19 23:50:52.314649,2024-03-20 00:02:38.826561
13,0.038254324678963045,"{'batch_size': 256, 'n_layers': 4, 'n_units_l0': 80, 'n_units_l1': 90, 'n_units_l2': 70, 'n_units_l3': 50, 'dropout': 0.05, 'activation': 'tanh'}",2024-03-20 00:02:38.827629,2024-03-20 00:11:59.578875
