number,value,params,datetime_start,datetime_complete
0,0.02166362905768614,"{'n_layers': 2, 'out_channels_0': 32, 'out_channels_1': 32, 'kernel_size_0': 4, 'kernel_size_1': 3, 'activation': 'relu', 'batch_size': 64}",2024-03-24 17:29:22.504674,2024-03-24 18:07:02.570761
1,0.03187547525060255,"{'n_layers': 3, 'out_channels_0': 16, 'out_channels_1': 32, 'out_channels_2': 64, 'kernel_size_0': 3, 'kernel_size_1': 2, 'kernel_size_2': 4, 'activation': 'tanh', 'batch_size': 16}",2024-03-24 18:07:02.572927,2024-03-24 21:49:55.045469
2,0.031040311592937707,"{'n_layers': 2, 'out_channels_0': 64, 'out_channels_1': 4, 'kernel_size_0': 2, 'kernel_size_1': 2, 'activation': 'tanh', 'batch_size': 32}",2024-03-24 21:49:55.047444,2024-03-24 23:12:51.225307
3,0.02832351131925698,"{'n_layers': 2, 'out_channels_0': 16, 'out_channels_1': 4, 'kernel_size_0': 2, 'kernel_size_1': 3, 'activation': 'softsign', 'batch_size': 128}",2024-03-24 23:12:51.227206,2024-03-24 23:37:26.312531
4,0.031087844093492974,"{'n_layers': 2, 'out_channels_0': 64, 'out_channels_1': 4, 'kernel_size_0': 4, 'kernel_size_1': 3, 'activation': 'relu', 'batch_size': 16}",2024-03-24 23:37:26.314434,2024-03-25 02:31:14.911055
5,0.017154321284064425,"{'n_layers': 3, 'out_channels_0': 64, 'out_channels_1': 16, 'out_channels_2': 32, 'kernel_size_0': 4, 'kernel_size_1': 2, 'kernel_size_2': 4, 'activation': 'relu', 'batch_size': 128}",2024-03-25 02:31:14.912978,2024-03-25 03:01:05.704736
6,0.024236741154578613,"{'n_layers': 3, 'out_channels_0': 4, 'out_channels_1': 64, 'out_channels_2': 16, 'kernel_size_0': 4, 'kernel_size_1': 4, 'kernel_size_2': 3, 'activation': 'softsign', 'batch_size': 128}",2024-03-25 03:01:05.707447,2024-03-25 03:33:21.449018
7,0.04280856721569813,"{'n_layers': 1, 'out_channels_0': 16, 'kernel_size_0': 3, 'activation': 'tanh', 'batch_size': 32}",2024-03-25 03:33:21.451040,2024-03-25 04:27:02.220014
8,0.03610715191408109,"{'n_layers': 1, 'out_channels_0': 4, 'kernel_size_0': 3, 'activation': 'tanh', 'batch_size': 128}",2024-03-25 04:27:02.221976,2024-03-25 04:42:28.900495
9,0.023283450700213745,"{'n_layers': 3, 'out_channels_0': 64, 'out_channels_1': 64, 'out_channels_2': 16, 'kernel_size_0': 4, 'kernel_size_1': 4, 'kernel_size_2': 3, 'activation': 'relu', 'batch_size': 32}",2024-03-25 04:42:28.902416,2024-03-25 06:39:45.949636
10,0.02749341988105348,"{'n_layers': 3, 'out_channels_0': 8, 'out_channels_1': 4, 'out_channels_2': 32, 'kernel_size_0': 3, 'kernel_size_1': 2, 'kernel_size_2': 2, 'activation': 'tanh', 'batch_size': 64}",2024-03-25 06:39:45.951742,2024-03-25 07:37:56.745108
11,0.03598587956391068,"{'n_layers': 1, 'out_channels_0': 32, 'kernel_size_0': 4, 'activation': 'relu', 'batch_size': 32}",2024-03-25 07:37:56.747165,2024-03-25 08:31:02.887744
12,0.036450186214737376,"{'n_layers': 1, 'out_channels_0': 16, 'kernel_size_0': 4, 'activation': 'softsign', 'batch_size': 64}",2024-03-25 08:31:02.889681,2024-03-25 09:00:11.891520
13,0.027320070095323695,"{'n_layers': 2, 'out_channels_0': 32, 'out_channels_1': 16, 'kernel_size_0': 4, 'kernel_size_1': 4, 'activation': 'softsign', 'batch_size': 64}",2024-03-25 09:00:11.893438,2024-03-25 09:42:19.411264
14,0.023571759950342643,"{'n_layers': 2, 'out_channels_0': 32, 'out_channels_1': 16, 'kernel_size_0': 2, 'kernel_size_1': 3, 'activation': 'relu', 'batch_size': 64}",2024-03-25 09:42:19.413194,2024-03-25 10:34:31.735782
15,0.032585318279179924,"{'n_layers': 2, 'out_channels_0': 4, 'out_channels_1': 64, 'kernel_size_0': 2, 'kernel_size_1': 3, 'activation': 'relu', 'batch_size': 16}",2024-03-25 10:34:31.737688,2024-03-25 13:19:42.684886
16,0.03954523211036963,"{'n_layers': 1, 'out_channels_0': 32, 'kernel_size_0': 2, 'activation': 'softsign', 'batch_size': 64}",2024-03-25 13:19:42.686867,2024-03-25 13:58:00.316087
17,0.04049653350093843,"{'n_layers': 1, 'out_channels_0': 64, 'kernel_size_0': 2, 'activation': 'softsign', 'batch_size': 16}",2024-03-25 13:58:00.317984,2024-03-25 16:01:31.138651
18,0.03758055502532578,"{'n_layers': 1, 'out_channels_0': 64, 'kernel_size_0': 4, 'activation': 'softsign', 'batch_size': 64}",2024-03-25 16:01:31.140641,2024-03-25 16:38:10.935968
19,0.040153314941602306,"{'n_layers': 1, 'out_channels_0': 4, 'kernel_size_0': 2, 'activation': 'softsign', 'batch_size': 128}",2024-03-25 16:38:10.937915,2024-03-25 16:55:45.723458
20,0.03652778818536174,"{'n_layers': 1, 'out_channels_0': 8, 'kernel_size_0': 4, 'activation': 'softsign', 'batch_size': 128}",2024-03-25 16:55:45.725341,2024-03-25 17:13:03.416299
21,0.023361956659800568,"{'n_layers': 3, 'out_channels_0': 4, 'out_channels_1': 64, 'out_channels_2': 8, 'kernel_size_0': 3, 'kernel_size_1': 4, 'kernel_size_2': 2, 'activation': 'softsign', 'batch_size': 128}",2024-03-25 17:13:03.418221,2024-03-25 17:44:58.620899
22,0.037337193121828934,"{'n_layers': 1, 'out_channels_0': 8, 'kernel_size_0': 3, 'activation': 'tanh', 'batch_size': 64}",2024-03-25 17:44:58.622953,2024-03-25 18:12:26.289704
23,0.029660949465581923,"{'n_layers': 2, 'out_channels_0': 32, 'out_channels_1': 16, 'kernel_size_0': 2, 'kernel_size_1': 4, 'activation': 'tanh', 'batch_size': 32}",2024-03-25 18:12:26.291601,2024-03-25 19:28:36.000612
24,0.024842900145533045,"{'n_layers': 3, 'out_channels_0': 8, 'out_channels_1': 16, 'out_channels_2': 64, 'kernel_size_0': 4, 'kernel_size_1': 3, 'kernel_size_2': 4, 'activation': 'softsign', 'batch_size': 64}",2024-03-25 19:28:36.002636,2024-03-25 20:29:16.129184
25,0.024499263516523997,"{'n_layers': 2, 'out_channels_0': 32, 'out_channels_1': 8, 'kernel_size_0': 2, 'kernel_size_1': 4, 'activation': 'relu', 'batch_size': 64}",2024-03-25 20:29:16.131216,2024-03-25 21:16:24.036489
