number,value,params,datetime_start,datetime_complete
0,0.6447316396692226,"{'model': 'efficientnet', 'batch_size': 64, 'image_input_size': 6, 'transform': 'MTF'}",2024-01-09 08:28:51.973999,2024-01-09 09:33:43.311463
1,0.6446532903462516,"{'model': 'resnet', 'batch_size': 32, 'image_input_size': 24, 'transform': 'MTF'}",2024-01-09 09:33:43.312531,2024-01-09 11:11:21.416710
2,0.4731643048699027,"{'model': 'cnn', 'batch_size': 16, 'image_input_size': 6, 'transform': 'GAF'}",2024-01-09 11:11:21.418185,2024-01-09 15:12:24.491361
3,0.644646297676092,"{'model': 'cnn', 'batch_size': 32, 'image_input_size': 24, 'transform': 'MTF'}",2024-01-09 15:12:24.492319,2024-01-09 16:24:38.100855
4,0.6445720229157401,"{'model': 'resnet', 'batch_size': 64, 'image_input_size': 12, 'transform': 'MTF'}",2024-01-09 16:24:38.101817,2024-01-09 17:33:18.250860
5,0.644660365821696,"{'model': 'resnet', 'batch_size': 32, 'image_input_size': 18, 'transform': 'MTF'}",2024-01-09 17:33:18.251848,2024-01-09 19:33:24.949978
6,0.4894884145672893,"{'model': 'cnn', 'batch_size': 64, 'image_input_size': 12, 'transform': 'GAF'}",2024-01-09 19:33:24.951055,2024-01-09 20:57:12.619396
7,0.6446829364808252,"{'model': 'cnn', 'batch_size': 128, 'image_input_size': 24, 'transform': 'MTF'}",2024-01-09 20:57:12.620459,2024-01-09 21:15:50.861170
8,0.481144945968598,"{'model': 'resnet', 'batch_size': 16, 'image_input_size': 6, 'transform': 'GAF'}",2024-01-09 21:15:50.862139,2024-01-10 05:45:16.430411
9,0.3887162953376116,"{'model': 'resnet', 'batch_size': 64, 'image_input_size': 18, 'transform': 'GAF'}",2024-01-10 05:45:16.431382,2024-01-10 07:55:57.203464
10,0.6450428098289411,"{'model': 'resnet', 'batch_size': 16, 'image_input_size': 18, 'transform': 'MTF'}",2024-01-10 07:55:57.204472,2024-01-10 10:59:22.094715
11,0.49368769573376803,"{'model': 'cnn', 'batch_size': 32, 'image_input_size': 12, 'transform': 'GAF'}",2024-01-10 10:59:22.095680,2024-01-10 12:46:29.940987
12,0.6445720229157401,"{'model': 'resnet', 'batch_size': 64, 'image_input_size': 12, 'transform': 'MTF'}",2024-01-10 12:46:29.941928,2024-01-10 13:30:42.695477
13,0.6447789171601096,"{'model': 'efficientnet', 'batch_size': 64, 'image_input_size': 12, 'transform': 'MTF'}",2024-01-10 13:30:42.696519,2024-01-10 14:34:08.765024
14,0.4731643048699027,"{'model': 'cnn', 'batch_size': 16, 'image_input_size': 6, 'transform': 'GAF'}",2024-01-10 14:34:08.766031,2024-01-10 19:07:49.886535
15,0.5012360206036188,"{'model': 'efficientnet', 'batch_size': 16, 'image_input_size': 18, 'transform': 'GAF'}",2024-01-10 19:07:49.887488,2024-01-11 07:46:08.628638
16,0.4466690209270706,"{'model': 'resnet', 'batch_size': 32, 'image_input_size': 12, 'transform': 'GAF'}",2024-01-11 07:46:08.629787,2024-01-11 12:49:36.694659
17,0.5074356918713185,"{'model': 'cnn', 'batch_size': 64, 'image_input_size': 18, 'transform': 'GAF'}",2024-01-11 12:49:36.695697,2024-01-11 14:15:48.812884
18,0.4427846622166771,"{'model': 'efficientnet', 'batch_size': 64, 'image_input_size': 24, 'transform': 'GAF'}",2024-01-11 14:15:48.813839,2024-01-11 17:42:43.968298
19,0.4924641282636326,"{'model': 'cnn', 'batch_size': 16, 'image_input_size': 12, 'transform': 'GAF'}",2024-01-11 17:42:43.969285,2024-01-11 22:31:51.629723
20,0.6450428098289411,"{'model': 'resnet', 'batch_size': 16, 'image_input_size': 18, 'transform': 'MTF'}",2024-01-11 22:31:51.630694,2024-01-12 01:44:43.281808
21,0.4466690209270706,"{'model': 'resnet', 'batch_size': 32, 'image_input_size': 12, 'transform': 'GAF'}",2024-01-12 01:44:43.282841,2024-01-12 06:20:19.005664
22,0.40936510057087816,"{'model': 'resnet', 'batch_size': 128, 'image_input_size': 12, 'transform': 'GAF'}",2024-01-12 06:20:19.008355,2024-01-12 07:12:17.553015
23,0.481144945968598,"{'model': 'resnet', 'batch_size': 16, 'image_input_size': 6, 'transform': 'GAF'}",2024-01-12 07:12:17.556453,2024-01-12 15:24:48.424696
24,0.6451505707545604,"{'model': 'efficientnet', 'batch_size': 32, 'image_input_size': 24, 'transform': 'MTF'}",2024-01-12 15:24:48.425701,2024-01-12 16:58:23.482954
25,0.6449313660930974,"{'model': 'efficientnet', 'batch_size': 32, 'image_input_size': 6, 'transform': 'MTF'}",2024-01-12 16:58:23.484039,2024-01-12 18:30:41.913073
26,0.5191815481727948,"{'model': 'cnn', 'batch_size': 16, 'image_input_size': 24, 'transform': 'GAF'}",2024-01-12 18:30:41.914070,2024-01-12 19:58:17.824109
27,0.5030833714531524,"{'model': 'cnn', 'batch_size': 16, 'image_input_size': 18, 'transform': 'GAF'}",2024-01-12 19:58:17.825054,2024-01-12 21:05:35.187623
28,0.4132756826066109,"{'model': 'resnet', 'batch_size': 32, 'image_input_size': 18, 'transform': 'GAF'}",2024-01-12 21:05:35.188562,2024-01-12 23:06:07.521969
29,0.4194278626324828,"{'model': 'resnet', 'batch_size': 128, 'image_input_size': 6, 'transform': 'GAF'}",2024-01-12 23:06:07.523021,2024-01-12 23:44:06.491825
