number,value,params,datetime_start,datetime_complete
0,0.0004777859062667338,"{'batch_size': 64, 'd_model': 32, 'nhead': 4, 'num_encoder_layers': 6, 'dim_feedforward': 2048, 'dropout': 0.05}",2024-03-16 09:52:58.765520,2024-03-16 10:39:14.066592
1,0.0010373426291331988,"{'batch_size': 32, 'd_model': 64, 'nhead': 8, 'num_encoder_layers': 3, 'dim_feedforward': 512, 'dropout': 0.05}",2024-03-16 10:39:14.067654,2024-03-16 11:52:22.179321
2,0.0006434286032549438,"{'batch_size': 32, 'd_model': 32, 'nhead': 32, 'num_encoder_layers': 5, 'dim_feedforward': 4096, 'dropout': 0.01}",2024-03-16 11:52:22.180285,2024-03-16 14:04:47.906331
3,0.0010409527029939395,"{'batch_size': 32, 'd_model': 64, 'nhead': 8, 'num_encoder_layers': 4, 'dim_feedforward': 512, 'dropout': 0.05}",2024-03-16 14:04:47.907507,2024-03-16 15:21:30.282050
4,0.0010557612977002374,"{'batch_size': 32, 'd_model': 32, 'nhead': 2, 'num_encoder_layers': 4, 'dim_feedforward': 4096, 'dropout': 0.05}",2024-03-16 15:21:30.283017,2024-03-16 16:10:08.640247
5,0.001036105019599937,"{'batch_size': 32, 'd_model': 128, 'nhead': 8, 'num_encoder_layers': 3, 'dim_feedforward': 1024, 'dropout': 0.05}",2024-03-16 16:10:08.641199,2024-03-16 17:05:23.194184
6,0.0009263668645234284,"{'batch_size': 32, 'd_model': 32, 'nhead': 2, 'num_encoder_layers': 4, 'dim_feedforward': 2048, 'dropout': 0.01}",2024-03-16 17:05:23.195155,2024-03-16 17:58:33.235777
7,0.0009725971485099703,"{'batch_size': 32, 'd_model': 128, 'nhead': 2, 'num_encoder_layers': 4, 'dim_feedforward': 512, 'dropout': 0.03}",2024-03-16 17:58:33.236744,2024-03-16 18:56:22.094441
8,0.00017018527144553196,"{'batch_size': 256, 'd_model': 128, 'nhead': 16, 'num_encoder_layers': 3, 'dim_feedforward': 1024, 'dropout': 0.01}",2024-03-16 18:56:22.095607,2024-03-16 19:00:27.782968
9,0.0004356493589266771,"{'batch_size': 64, 'd_model': 128, 'nhead': 2, 'num_encoder_layers': 3, 'dim_feedforward': 2048, 'dropout': 0.03}",2024-03-16 19:00:27.783940,2024-03-16 19:32:19.626391
10,0.0004924170594233829,"{'batch_size': 64, 'd_model': 64, 'nhead': 4, 'num_encoder_layers': 6, 'dim_feedforward': 512, 'dropout': 0.05}",2024-03-16 19:32:19.627338,2024-03-16 20:18:33.224793
11,0.00017837280132362293,"{'batch_size': 128, 'd_model': 256, 'nhead': 2, 'num_encoder_layers': 5, 'dim_feedforward': 1024, 'dropout': 0.01}",2024-03-16 20:18:33.225755,2024-03-16 20:41:34.600086
12,0.00017636711851908048,"{'batch_size': 256, 'd_model': 256, 'nhead': 16, 'num_encoder_layers': 5, 'dim_feedforward': 512, 'dropout': 0.05}",2024-03-16 20:41:34.601055,2024-03-16 20:46:15.259586
13,0.00034567893783525204,"{'batch_size': 64, 'd_model': 32, 'nhead': 32, 'num_encoder_layers': 4, 'dim_feedforward': 4096, 'dropout': 0.05}",2024-03-16 20:46:15.260572,2024-03-16 21:50:02.368116
14,0.00042357407625445264,"{'batch_size': 128, 'd_model': 256, 'nhead': 16, 'num_encoder_layers': 6, 'dim_feedforward': 1024, 'dropout': 0.01}",2024-03-16 21:50:02.369079,2024-03-16 21:58:26.385332
15,0.0009319147637826308,"{'batch_size': 64, 'd_model': 32, 'nhead': 8, 'num_encoder_layers': 6, 'dim_feedforward': 4096, 'dropout': 0.05}",2024-03-16 21:58:26.386320,2024-03-16 22:14:06.713795
16,0.0009222654505163697,"{'batch_size': 32, 'd_model': 32, 'nhead': 8, 'num_encoder_layers': 3, 'dim_feedforward': 512, 'dropout': 0.01}",2024-03-16 22:14:06.714744,2024-03-16 23:18:10.419626
17,0.00031909570637775016,"{'batch_size': 64, 'd_model': 64, 'nhead': 32, 'num_encoder_layers': 6, 'dim_feedforward': 2048, 'dropout': 0.01}",2024-03-16 23:18:10.420574,2024-03-17 00:27:25.989211
18,0.0002258196542348773,"{'batch_size': 128, 'd_model': 128, 'nhead': 4, 'num_encoder_layers': 2, 'dim_feedforward': 4096, 'dropout': 0.05}",2024-03-17 00:27:25.990552,2024-03-17 00:41:02.170834
19,9.313343783690848e-05,"{'batch_size': 256, 'd_model': 128, 'nhead': 2, 'num_encoder_layers': 5, 'dim_feedforward': 1024, 'dropout': 0.03}",2024-03-17 00:41:02.171950,2024-03-17 00:51:25.997313
20,0.00042852407685908605,"{'batch_size': 64, 'd_model': 64, 'nhead': 2, 'num_encoder_layers': 2, 'dim_feedforward': 4096, 'dropout': 0.03}",2024-03-17 00:51:25.998275,2024-03-17 01:32:36.005112
21,0.00044666134821636785,"{'batch_size': 64, 'd_model': 32, 'nhead': 4, 'num_encoder_layers': 2, 'dim_feedforward': 1024, 'dropout': 0.03}",2024-03-17 01:32:36.006110,2024-03-17 01:56:44.302449
22,0.0004158388914078603,"{'batch_size': 128, 'd_model': 128, 'nhead': 32, 'num_encoder_layers': 5, 'dim_feedforward': 4096, 'dropout': 0.03}",2024-03-17 01:56:44.303401,2024-03-17 02:04:11.106577
23,0.00042535783026169133,"{'batch_size': 64, 'd_model': 256, 'nhead': 4, 'num_encoder_layers': 2, 'dim_feedforward': 4096, 'dropout': 0.03}",2024-03-17 02:04:11.108011,2024-03-17 02:34:10.224343
24,0.0004586218058290739,"{'batch_size': 64, 'd_model': 32, 'nhead': 8, 'num_encoder_layers': 2, 'dim_feedforward': 1024, 'dropout': 0.03}",2024-03-17 02:34:10.225304,2024-03-17 03:01:25.420141
25,0.0002207103206939914,"{'batch_size': 128, 'd_model': 32, 'nhead': 2, 'num_encoder_layers': 6, 'dim_feedforward': 1024, 'dropout': 0.05}",2024-03-17 03:01:25.421121,2024-03-17 03:20:09.660452
26,0.0009922011872273945,"{'batch_size': 32, 'd_model': 128, 'nhead': 2, 'num_encoder_layers': 3, 'dim_feedforward': 1024, 'dropout': 0.05}",2024-03-17 03:20:09.661405,2024-03-17 04:18:02.317120
27,0.00020392990859387672,"{'batch_size': 128, 'd_model': 64, 'nhead': 4, 'num_encoder_layers': 4, 'dim_feedforward': 4096, 'dropout': 0.05}",2024-03-17 04:18:02.318088,2024-03-17 04:38:29.537581
28,0.0001640637148983753,"{'batch_size': 256, 'd_model': 128, 'nhead': 16, 'num_encoder_layers': 4, 'dim_feedforward': 1024, 'dropout': 0.01}",2024-03-17 04:38:29.538568,2024-03-17 04:42:52.922465
29,9.884936414686384e-05,"{'batch_size': 256, 'd_model': 256, 'nhead': 8, 'num_encoder_layers': 3, 'dim_feedforward': 512, 'dropout': 0.03}",2024-03-17 04:42:52.923408,2024-03-17 04:53:00.789844
30,0.0009948847496459598,"{'batch_size': 32, 'd_model': 64, 'nhead': 2, 'num_encoder_layers': 3, 'dim_feedforward': 4096, 'dropout': 0.03}",2024-03-17 04:53:00.790879,2024-03-17 05:46:26.081515
31,0.00010316948515469833,"{'batch_size': 256, 'd_model': 32, 'nhead': 4, 'num_encoder_layers': 4, 'dim_feedforward': 4096, 'dropout': 0.05}",2024-03-17 05:46:26.082489,2024-03-17 05:54:24.199847
32,0.0002014110587999177,"{'batch_size': 128, 'd_model': 64, 'nhead': 2, 'num_encoder_layers': 3, 'dim_feedforward': 4096, 'dropout': 0.03}",2024-03-17 05:54:24.200780,2024-03-17 06:13:05.803231
33,9.955193550746664e-05,"{'batch_size': 256, 'd_model': 32, 'nhead': 2, 'num_encoder_layers': 2, 'dim_feedforward': 4096, 'dropout': 0.05}",2024-03-17 06:13:05.804189,2024-03-17 06:20:47.344440
34,9.42086156769962e-05,"{'batch_size': 256, 'd_model': 64, 'nhead': 8, 'num_encoder_layers': 2, 'dim_feedforward': 512, 'dropout': 0.01}",2024-03-17 06:20:47.345405,2024-03-17 06:28:38.906942
35,0.00020213945235199497,"{'batch_size': 128, 'd_model': 256, 'nhead': 2, 'num_encoder_layers': 2, 'dim_feedforward': 4096, 'dropout': 0.05}",2024-03-17 06:28:38.907933,2024-03-17 06:46:47.114324
36,9.676971159596265e-05,"{'batch_size': 256, 'd_model': 256, 'nhead': 2, 'num_encoder_layers': 6, 'dim_feedforward': 1024, 'dropout': 0.01}",2024-03-17 06:46:47.115268,2024-03-17 06:55:52.812591
37,0.0008862715517651992,"{'batch_size': 64, 'd_model': 64, 'nhead': 16, 'num_encoder_layers': 5, 'dim_feedforward': 2048, 'dropout': 0.03}",2024-03-17 06:55:52.813569,2024-03-17 07:12:37.057551
38,0.002752761014423854,"{'batch_size': 32, 'd_model': 128, 'nhead': 16, 'num_encoder_layers': 3, 'dim_feedforward': 2048, 'dropout': 0.03}",2024-03-17 07:12:37.058519,2024-03-17 07:40:17.388157
39,0.0009407417363383047,"{'batch_size': 32, 'd_model': 64, 'nhead': 2, 'num_encoder_layers': 6, 'dim_feedforward': 1024, 'dropout': 0.01}",2024-03-17 07:40:17.389130,2024-03-17 08:38:42.371793
40,0.00018827258664725827,"{'batch_size': 256, 'd_model': 256, 'nhead': 32, 'num_encoder_layers': 5, 'dim_feedforward': 512, 'dropout': 0.03}",2024-03-17 08:38:42.372764,2024-03-17 08:43:17.391409
41,8.856779817619328e-05,"{'batch_size': 256, 'd_model': 256, 'nhead': 2, 'num_encoder_layers': 3, 'dim_feedforward': 1024, 'dropout': 0.01}",2024-03-17 08:43:17.392355,2024-03-17 08:57:03.198729
42,0.00022328307769212,"{'batch_size': 128, 'd_model': 128, 'nhead': 4, 'num_encoder_layers': 4, 'dim_feedforward': 4096, 'dropout': 0.05}",2024-03-17 08:57:03.199790,2024-03-17 09:14:39.228334
43,0.00010417339832501767,"{'batch_size': 256, 'd_model': 32, 'nhead': 2, 'num_encoder_layers': 4, 'dim_feedforward': 512, 'dropout': 0.05}",2024-03-17 09:14:39.229298,2024-03-17 09:22:54.063750
44,0.0004529228753988886,"{'batch_size': 64, 'd_model': 64, 'nhead': 4, 'num_encoder_layers': 2, 'dim_feedforward': 512, 'dropout': 0.03}",2024-03-17 09:22:54.064717,2024-03-17 09:55:53.620750
45,0.00017462729674343203,"{'batch_size': 256, 'd_model': 256, 'nhead': 16, 'num_encoder_layers': 2, 'dim_feedforward': 1024, 'dropout': 0.03}",2024-03-17 09:55:53.621714,2024-03-17 10:00:23.323463
46,0.0008939687770516192,"{'batch_size': 32, 'd_model': 256, 'nhead': 4, 'num_encoder_layers': 4, 'dim_feedforward': 512, 'dropout': 0.01}",2024-03-17 10:00:23.324415,2024-03-17 11:18:47.232539
